NAME,APPS,MINS,ATT_GOALS,ATT_XG,ATT_GOALS VS XG,ATT_SHOTS,ATT_SOT,ATT_CONV %,ATT_XG PER SHOT,CAR_TOTAL (ALL CARRIES),CAR_DISTANCE (M) (ALL CARRIES),CAR_AVG (M) (ALL CARRIES),CAR_TOTAL (PROGRESSIVE),CAR_DISTANCE (M) (PROGRESSIVE),CAR_AVG (M) (PROGRESSIVE),CAR_ENDED WITH SHOT,CAR_ENDED WITH GOAL,CAR_ENDED WITH CHANCE,CAR_ENDED WITH ASSIST,DEF_TACKLES,DEF_INTS,DEF_POS WON,DEF_BLOCKS,DEF_CLEARANCES,DEF_TOTAL (GROUND DUELS),DEF_WON (GROUND DUELS),DEF_% (GROUND DUELS),DEF_TOTAL (AERIAL DUELS),DEF_WON (AERIAL DUELS),DEF_% (AERIAL DUELS),PAS_TOTAL (OPEN PLAY PASSES),PAS_SUCCESSFUL (OPEN PLAY PASSES),PAS_% (OPEN PLAY PASSES),PAS_TOTAL (FINAL THIRD PASSES),PAS_SUCCESSFUL (FINAL THIRD PASSES),PAS_% (FINAL THIRD PASSES),PAS_TOTAL (CROSSES),PAS_SUCCESSFUL (CROSSES),PAS_% (CROSSES),PAS_THROUGH BALLS
Juan Rodríguez,17,1315,0.07,0.05,0.02,0.21,0.14,33.33%,0.25,8.42,73.2,8.7,3.56,35.3,0.7,0.00,0.00,0.00,0.00,37,18,41,14,81,69,46,66.7%,32,16,50.0%,45.31,40.17,88.7%,3.35,1.64,49.0%,0.34,0.07,20.0%,0.00
Junior Messias,20,675,0.40,0.25,0.15,2.53,0.93,15.79%,0.10,19.60,225.2,11.5,10.53,98.1,1.2,0.80,0.27,0.40,0.13,20,5,41,1,14,101,62,61.4%,34,13,38.2%,34.67,26.40,76.2%,17.87,13.20,73.9%,1.47,0.27,18.2%,0.00
Jurgen Ekkelenkamp,31,2203,0.20,0.20,0.01,1.35,0.61,15.15%,0.15,7.44,83.8,11.3,4.45,48.9,0.4,0.16,0.04,0.12,0.00,47,15,89,6,26,143,82,57.3%,38,15,39.5%,26.27,20.75,79.0%,9.97,7.27,73.0%,0.74,0.04,5.6%,0.04
Jérémie Boga,15,678,0.53,0.38,0.15,3.19,1.59,16.67%,0.12,15.53,213.0,13.7,9.56,123.1,1.7,0.93,0.13,0.66,0.00,7,2,14,0,4,70,36,51.4%,11,3,27.3%,28.27,23.36,82.6%,14.60,10.88,74.5%,1.86,0.80,42.9%,0.27
Kamaldeen Sulemana,25,1002,0.18,0.21,-0.03,2.25,0.90,8.00%,0.09,17.78,225.0,12.7,9.97,129.5,1.2,0.72,0.09,0.45,0.00,9,2,47,1,8,108,45,41.7%,24,12,50.0%,30.72,26.05,84.8%,16.44,13.11,79.8%,1.98,0.45,22.7%,0.09
Keinan Davis,30,2079,0.43,0.42,0.01,2.16,1.08,20.00%,0.19,7.14,96.7,13.5,3.98,55.7,0.6,0.78,0.04,0.43,0.13,11,2,75,3,26,181,88,48.6%,137,59,43.1%,17.14,13.33,77.8%,7.53,5.37,71.3%,0.22,0.00,0.0%,0.09
Kenan Yildiz,36,2837,0.32,0.26,0.06,3.08,1.27,10.31%,0.08,18.65,216.6,11.6,10.82,113.2,0.3,1.33,0.06,1.17,0.06,26,7,121,0,7,319,160,50.2%,29,16,55.2%,38.80,32.64,84.1%,19.99,15.61,78.1%,2.66,0.76,28.6%,0.32
Kenneth Taylor,17,1400,0.19,0.13,0.06,1.03,0.39,18.75%,0.13,9.00,88.7,9.9,4.05,31.9,0.5,0.32,0.06,0.19,0.00,21,10,45,6,10,99,42,42.4%,11,5,45.5%,43.26,38.38,88.7%,15.43,12.09,78.3%,0.58,0.06,11.1%,0.00
Kevin De Bruyne,18,1169,0.38,0.31,0.07,2.08,0.85,18.52%,0.15,12.32,126.8,10.3,7.01,73.5,0.8,0.23,0.00,0.54,0.08,12,5,43,0,4,64,27,42.2%,9,3,33.3%,56.97,47.73,83.8%,24.64,18.25,74.1%,2.31,0.38,16.7%,1.31
Khéphren Thuram,35,2453,0.11,0.11,-0.00,1.83,0.55,6.00%,0.06,15.89,189.7,11.9,8.55,107.9,0.5,0.40,0.00,0.37,0.11,60,12,120,9,29,172,95,55.2%,73,37,50.7%,55.29,47.99,86.8%,18.23,14.42,79.1%,0.62,0.11,17.6%,0.48
Kialonda Gaspar,23,1830,0.00,0.04,-0.04,0.44,0.05,0.00%,0.10,4.72,45.0,9.5,1.82,13.4,0.4,0.00,0.00,0.00,0.00,23,17,42,21,141,66,45,68.2%,87,49,56.3%,38.95,32.85,84.3%,4.57,1.97,43.0%,0.05,0.00,0.0%,0.00
Kieron Bowie,14,1204,0.30,0.32,-0.02,2.47,0.82,12.12%,0.13,5.83,63.4,10.9,2.99,27.4,0.7,0.75,0.07,0.15,0.00,9,0,35,3,8,103,41,39.8%,82,30,36.6%,14.95,10.47,70.0%,6.43,4.63,72.1%,0.45,0.00,0.0%,0.00
Kingsley Ehizibue,32,1810,0.10,0.06,0.04,0.40,0.10,25.00%,0.15,6.56,73.0,11.1,3.03,33.5,0.5,0.10,0.00,0.10,0.00,39,12,76,3,51,145,68,46.9%,27,12,44.4%,23.72,18.80,79.3%,6.61,4.57,69.2%,1.59,0.20,12.5%,0.05
Konan N’Dri,27,522,0.34,0.18,0.17,3.28,0.86,10.53%,0.05,21.55,298.8,13.9,13.45,172.9,2.2,2.07,0.34,0.52,0.00,11,2,24,0,0,105,39,37.1%,14,5,35.7%,22.76,15.86,69.7%,13.79,9.31,67.5%,3.45,0.34,10.0%,0.00
Koni De Winter,26,1798,0.05,0.03,0.02,0.35,0.05,14.29%,0.10,14.37,150.3,10.5,7.66,70.3,0.5,0.05,0.00,0.05,0.00,29,13,74,12,99,74,40,54.1%,64,42,65.6%,63.22,57.76,91.4%,7.91,6.26,79.1%,0.25,0.05,20.0%,0.00
Kostas Tsimikas,18,637,0.00,0.06,-0.06,0.99,0.00,0.00%,0.06,10.03,95.1,9.5,4.66,26.8,0.8,0.14,0.00,0.00,0.00,11,8,26,2,18,52,25,48.1%,11,5,45.5%,37.44,29.95,80.0%,10.31,7.35,71.2%,4.10,0.85,20.7%,0.00
Kristian Thorstvedt,32,2458,0.15,0.24,-0.09,1.57,0.48,9.30%,0.15,10.36,112.4,10.8,5.35,58.1,0.4,0.26,0.04,0.37,0.04,44,32,103,13,43,207,119,57.5%,79,30,38.0%,38.63,31.82,82.4%,14.94,11.20,75.0%,0.51,0.22,42.9%,0.26
Kristjan Asllani,15,1135,0.00,0.11,-0.11,1.59,0.32,0.00%,0.07,8.56,74.6,8.7,2.70,19.7,0.6,0.32,0.00,0.24,0.00,21,12,63,1,10,62,37,59.7%,11,2,18.2%,48.93,41.15,84.1%,12.61,7.85,62.3%,1.03,0.08,7.7%,0.24
Lameck Banda,32,1759,0.26,0.14,0.11,1.94,0.77,13.16%,0.07,13.97,181.6,13.0,7.67,95.1,0.6,1.13,0.05,0.56,0.15,27,7,79,0,13,258,110,42.6%,30,11,36.7%,17.50,14.02,80.1%,8.24,6.19,75.2%,3.38,0.41,12.1%,0.05
Lassana Coulibaly,33,2695,0.10,0.09,0.01,0.94,0.27,10.71%,0.10,7.55,84.0,11.1,3.37,27.5,0.3,0.10,0.00,0.20,0.00,48,8,138,6,31,228,124,54.4%,73,35,47.9%,26.08,21.37,82.0%,9.32,6.98,74.9%,0.60,0.07,11.1%,0.03
Lautaro Martínez,30,2178,0.70,0.56,0.15,3.80,1.61,18.48%,0.15,6.20,59.0,9.5,2.85,22.8,0.3,0.33,0.04,0.29,0.04,24,7,54,0,18,198,91,46.0%,56,24,42.9%,24.79,19.38,78.2%,12.40,8.97,72.3%,0.70,0.08,11.8%,0.12
Lautaro Valenti,27,2251,0.00,0.02,-0.02,0.68,0.16,0.00%,0.03,8.92,95.0,10.7,4.68,49.6,0.4,0.12,0.00,0.04,0.00,49,25,83,24,144,122,73,59.8%,77,43,55.8%,43.94,34.34,78.2%,7.68,3.84,50.0%,0.80,0.08,10.0%,0.00
Lazar Samardzic,26,1023,0.18,0.26,-0.08,2.20,0.79,8.00%,0.12,18.39,178.2,9.7,9.24,77.5,0.7,0.70,0.00,0.88,0.09,12,9,49,0,8,93,35,37.6%,28,6,21.4%,46.10,38.80,84.2%,24.90,20.67,83.0%,2.29,0.62,26.9%,0.09
Lennon Miller,24,992,0.00,0.03,-0.03,0.82,0.09,0.00%,0.04,6.99,64.1,9.2,2.72,15.9,0.5,0.18,0.00,0.18,0.00,21,7,52,4,18,82,48,58.5%,24,16,66.7%,34.84,27.04,77.6%,10.89,7.08,65.0%,0.82,0.09,11.1%,0.09
Leo Østigård,30,2623,0.17,0.12,0.06,0.75,0.41,22.73%,0.15,13.28,129.6,9.8,6.00,66.9,0.4,0.00,0.00,0.03,0.00,36,30,80,26,215,91,49,53.8%,151,108,71.5%,58.06,51.64,89.0%,5.97,3.19,53.5%,0.03,0.00,0.0%,0.00
Leonardo Spinazzola,32,1901,0.14,0.05,0.09,0.99,0.33,14.29%,0.06,17.04,214.9,12.6,11.22,144.8,0.6,0.28,0.05,0.57,0.00,24,4,92,2,32,115,49,42.6%,6,2,33.3%,46.68,37.69,80.7%,15.91,11.50,72.3%,3.46,1.04,30.1%,0.24
Lewis Ferguson,27,1596,0.06,0.04,0.02,0.73,0.11,7.69%,0.05,11.56,120.3,10.4,4.96,37.5,0.4,0.06,0.00,0.00,0.00,26,11,63,8,27,99,53,53.5%,60,31,51.7%,58.70,51.48,87.7%,14.04,11.11,79.1%,0.39,0.06,14.3%,0.00
Lloyd Kelly,35,2998,0.03,0.03,-0.00,0.51,0.09,5.88%,0.06,16.96,194.1,11.4,10.24,118.2,0.3,0.09,0.00,0.00,0.00,48,14,168,17,116,144,83,57.6%,143,90,62.9%,61.03,54.28,88.9%,9.73,6.75,69.4%,0.36,0.00,0.0%,0.12
Lorenzo Bernasconi,23,1569,0.00,0.02,-0.02,0.52,0.06,0.00%,0.04,8.60,115.3,13.4,5.39,72.4,0.8,0.06,0.00,0.23,0.06,29,14,53,6,37,71,41,57.7%,16,5,31.3%,40.61,34.19,84.2%,11.99,9.18,76.6%,3.50,1.03,29.5%,0.00
Lorenzo Colombo,38,2346,0.27,0.32,-0.05,2.53,1.04,10.61%,0.12,6.48,71.1,11.0,2.76,26.7,0.4,0.50,0.04,0.12,0.04,20,1,54,2,20,213,89,41.8%,190,61,32.1%,18.30,12.89,70.4%,7.56,4.95,65.5%,0.65,0.04,5.9%,0.27
Lorenzo De Silvestri,12,491,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,8.25,100.3,12.2,3.85,32.5,1.5,0.00,0.00,0.18,0.00,2,7,15,3,24,17,6,35.3%,10,7,70.0%,33.54,28.78,85.8%,5.32,3.67,69.0%,1.28,0.73,57.1%,0.00
Lorenzo Pellegrini,24,1475,0.24,0.32,-0.08,1.95,0.73,12.50%,0.17,11.47,119.1,10.4,5.31,50.2,0.6,0.12,0.00,0.18,0.00,12,14,51,4,14,129,56,43.4%,46,21,45.7%,41.61,32.09,77.1%,19.95,14.22,71.3%,1.65,0.37,22.2%,0.18
Loïs Openda,24,654,0.14,0.49,-0.35,3.58,0.83,3.85%,0.14,7.84,100.6,12.8,4.68,58.9,1.7,0.69,0.00,0.28,0.00,6,1,12,1,3,51,30,58.8%,28,8,28.6%,20.78,15.14,72.8%,11.28,7.02,62.2%,0.96,0.14,14.3%,0.14
Luca Lipani,24,1028,0.00,0.07,-0.07,1.05,0.26,0.00%,0.07,7.00,60.3,8.6,3.15,19.1,0.5,0.18,0.00,0.09,0.00,29,15,54,2,26,103,42,40.8%,24,13,54.2%,42.29,35.46,83.8%,11.12,7.44,66.9%,0.18,0.00,0.0%,0.18
Luca Marianucci,12,691,0.00,0.00,-0.00,0.26,0.00,0.00%,0.01,9.77,102.7,10.5,6.90,70.8,1.3,0.00,0.00,0.52,0.13,16,10,32,3,34,46,21,45.7%,29,14,48.3%,53.66,45.07,84.0%,10.94,7.81,71.4%,1.04,0.39,37.5%,0.00
